end,parent,service,meter,start,key,unit,quantity
2013-11-30T00:00:00,5657382461898752,Trash,,2013-11-01T00:00:00,5629499534213120,yd,2.0
2013-10-31T00:00:00,5657535201673216,Trash,,2013-10-01T00:00:00,5629499534213120,yd,2.0
2014-08-01T00:00:00,5657582312095744,Electricity,11-30-003,2014-07-01T00:00:00,5066549580791808,kwh,342.0
2014-08-01T00:00:00,5657582312095744,Electricity,11-30-003 Heat,2014-07-01T00:00:00,5629499534213120,kwh,0.0
2014-08-01T00:00:00,5657582312095744,Electricity,12-06-008,2014-07-01T00:00:00,6192449487634432,kwh,660.0
2015-03-13T00:00:00,5658962204557312,Electricity,Area Lighting,2015-02-11T00:00:00,4785074604081152,kwh,66.0
2015-03-13T00:00:00,5658962204557312,Electricity,300455,2015-02-11T00:00:00,5066549580791808,kwh,23880.0
2015-03-16T00:00:00,5658962204557312,Electricity,177755,2015-02-16T00:00:00,5629499534213120,kwh,938.0
2015-03-13T00:00:00,5658962204557312,Electricity,Area Lighting,2015-02-11T00:00:00,5910974510923776,kwh,66.0
2015-03-13T00:00:00,5658962204557312,Electricity,Demand-300455,2015-02-11T00:00:00,6192449487634432,kw,79.0
2012-11-09T00:00:00,5659118702428160,Electricity,ACCT433803-179084,2012-10-10T00:00:00,5629499534213120,kwh,2455.0
2014-12-31T00:00:00,5659313586569216,Trash,,2014-12-01T00:00:00,5629499534213120,yd,2.0
2015-04-10T00:00:00,5659822271758336,Water,water,2015-03-10T00:00:00,5066549580791808,gallon,0.0
2015-04-10T00:00:00,5659822271758336,Water,sewer,2015-03-10T00:00:00,5629499534213120,gallon,0.0
2013-01-08T00:00:00,5660612814176256,Natural Gas,20193729,2012-12-05T00:00:00,5629499534213120,therm,793.0
2013-04-10T00:00:00,5660980839186432,Electricity,ACCT433803-179085,2013-03-12T00:00:00,5629499534213120,kwh,3842.0
2015-04-27T00:00:00,5662329727352832,Water,Sewer,2015-03-23T00:00:00,4785074604081152,gallon,0.0
2015-04-27T00:00:00,5662329727352832,Water,Essential,2015-03-23T00:00:00,5066549580791808,gallon,0.0
2015-04-27T00:00:00,5662329727352832,Electricity,,2015-03-23T00:00:00,5629499534213120,kwh,150.0
2015-04-27T00:00:00,5662329727352832,Water,Non-Essential,2015-03-23T00:00:00,6192449487634432,gallon,0.0
2015-04-07T00:00:00,5662457099976704,Water,,2015-03-23T00:00:00,5629499534213120,,4.0
2013-06-13T00:00:00,5662543133540352,Electricity,ACCT433803-179085,2013-05-10T00:00:00,5629499534213120,kwh,193.0
2013-07-23T00:00:00,5663284820705280,Electricity,3565913,2013-06-22T00:00:00,5066549580791808,kw,66.0
2013-07-23T00:00:00,5663284820705280,Electricity,3565913,2013-06-22T00:00:00,5629499534213120,kwh,21120.0
2013-07-23T00:00:00,5663284820705280,Natural Gas,20293093,2013-06-22T00:00:00,6192449487634432,therm,65.0
2013-09-30T00:00:00,5664248772427776,Trash,,2013-09-01T00:00:00,5629499534213120,yd,2.0
2012-11-30T00:00:00,5664902681198592,Trash,,2012-11-01T00:00:00,5629499534213120,yd,2.0
2015-06-24T00:00:00,5665370564198400,Waste Water,,2015-05-26T00:00:00,4785074604081152,cf,0.0
2015-06-24T00:00:00,5665370564198400,Water,6106456,2015-05-26T00:00:00,5066549580791808,c.f,0.0
2015-06-24T00:00:00,5665370564198400,Trash,Trash-no usage shown,2015-05-26T00:00:00,5629499534213120,yd,0.0
2015-06-24T00:00:00,5665370564198400,Street Light,Street-light,2015-05-26T00:00:00,5910974510923776,kwh,0.0
2015-06-24T00:00:00,5665370564198400,Electricity,39523049,2015-05-26T00:00:00,6192449487634432,kwh,386.0
2014-03-11T00:00:00,5666083260334080,Electricity,ACCT433803-179085,2014-02-11T00:00:00,5629499534213120,kwh,6066.0
2014-04-12T00:00:00,5666823336886272,Electricity,2819661,2014-03-12T00:00:00,5066549580791808,kw,42.0
2014-04-12T00:00:00,5666823336886272,Electricity,2819661,2014-03-12T00:00:00,5629499534213120,kwh,9360.0
2014-04-10T00:00:00,5666823336886272,Natural Gas,614366,2014-03-12T00:00:00,6192449487634432,therm,2736.0
2011-07-31T00:00:00,5667908084563968,Trash,,2011-07-01T00:00:00,5629499534213120,yd,2.0
2012-09-30T00:00:00,5668600916475904,Trash,,2012-09-01T00:00:00,5629499534213120,yd,2.0
2015-03-12T00:00:00,5668753656250368,Natural Gas,M19951081349,2015-02-11T00:00:00,5629499534213120,therm,186.0
2010-11-30T00:00:00,5669468231434240,Electricity,39523049,2010-10-26T00:00:00,4785074604081152,kwh,629.0
2010-11-30T00:00:00,5669468231434240,Water,6106456,2010-10-26T00:00:00,5066549580791808,c.f,1000.0
2010-11-30T00:00:00,5669468231434240,Waste Water,,2010-10-26T00:00:00,5629499534213120,cf,1000.0
2010-11-30T00:00:00,5669468231434240,Street Light,Street-Light,2010-10-26T00:00:00,5910974510923776,kwh,0.0
2010-11-30T00:00:00,5669468231434240,Trash,Trash-no usage shown,2010-10-26T00:00:00,6192449487634432,yd,0.0
2013-04-10T00:00:00,5669544198668288,Electricity,ACCT433803-179084,2013-03-12T00:00:00,5629499534213120,kwh,1426.0
2015-03-10T00:00:00,5670405876482048,Natural Gas,20193729,2015-04-08T00:00:00,5629499534213120,therm,331.0
2014-02-11T00:00:00,5671831268753408,Electricity,ACCT:433803-179084,2014-01-10T00:00:00,5629499534213120,kwh,1468.0
2012-09-30T00:00:00,5672749318012928,Water,,2012-09-01T00:00:00,5629499534213120,gallon,5000.0
2013-05-07T00:00:00,5672889575538688,Natural Gas,20193729,2013-04-08T00:00:00,5629499534213120,therm,304.0
2015-02-01T00:00:00,5673385510043648,Electricity,999404480,2015-01-01T00:00:00,4785074604081152,kw,131.0
2015-02-01T00:00:00,5673385510043648,Electricity,999404038,2015-01-01T00:00:00,5066549580791808,kwh,1400.0
2015-02-01T00:00:00,5673385510043648,Electricity,999406985,2015-01-01T00:00:00,5629499534213120,kwh,1.0
